ContractID,LocationID,LocationName,Currency,Street,City,Latitude,Longitude,Subarea,Area,PostalCode,Country,LocPerils,RiskCount,Stories,YearBuilt,OccupancyCodeType,OccupancyCode,ConstructionCodeType,ConstructionCode,ConstructionOther,BuildingValue,OtherValue,ContentsValue,TimeElementValue,LocLimitType,LimitBldg,LimitOther,LimitContent,LimitTime,DeductType,DeductBldg,DeductOther,DeductContent,DeductTime,SubLimitArea,WallAttachedStructure,RoofDeckAttachment,WallType,WallSiding,SmallDebris,SealofApproval,GrossArea,FloorOfInterest,WindowProtection,RoofAnchorage,RoofGeometry,RoofPitch,RoofCover,FoundationConnection,FoundationType,BuildingCondition,LargeMissile,SpecialConstruction,Equipment,Ornamentation,ShapeIrregularity,BuildingShape,ShortColumn,SoftStory,Retrofit,ServiceEquipmentProtection,ContentVulnerability,CustomFloodSOP,FirstFloorHeight,BasementFinishType,BasementLevelCount,CRESTA
135196,1583182,1583182,USD,1 CRESCENT DR,PHILADELPHIA,0,0,101,PA,19112,US,PWA,1,1,0,AIR,328,AIR,111,111,0,0,100000,0,S,100000,0,0,0,CT,5000,0,0,0,,0,0,0,0,0,0,77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133843,1579760,1579760,USD,3524 OCEAN VIEW BLVD,GLENDALE,0,0,37,CA,91208,US,PWA,1,1,1970,AIR,315,AIR,111,111,800418,0,600314,250000,S,1650732,0,0,0,CT,1000,0,0,684.93150000000003,,0,0,0,0,0,0,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133398,1578723,1578723,USD,10113 E ADMIRAL PL,TULSA,0,0,143,OK,74116,US,PWA,1,0,0,AIR,313,AIR,111,111,0,0,383760,0,S,383760,0,0,0,C,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133401,1578728,1578728,USD,2213 RANCH ROAD 620 N,AUSTIN,0,0,453,TX,78734,US,PWA,1,1,1998,AIR,315,AIR,111,111,300000,0,0,0,S,300000,0,0,0,CT,1000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133401,1578730,1578730,USD,5104 COUNTY ROAD 2648,ROYSE CITY,0,0,231,TX,75189,US,PWA,1,0,1988,AIR,315,AIR,111,111,0,0,75000,0,S,75000,0,0,0,CT,1000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133401,1578733,1578733,USD,13809 RESEARCH BLVD,AUSTIN,0,0,491,TX,78750,US,PWA,1,11,1986,AIR,315,AIR,111,111,0,0,512000,281216,S,793216,0,0,0,CT,1000,0,0,1540.9096,,0,0,0,0,0,0,156000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
134639,1476793,1476793,USD,1400 FEDERAL BLVD,CARTERET,0,0,23,NJ,07008,US,PWA,1,1,1968,AIR,315,AIR,151,151,0,0,1000000,590000,S,1590000,0,0,0,CT,1000,0,0,1616.4384,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
134640,1476796,1476796,USD,318 W ADAMS ST STE 900,CHICAGO,0,0,31,IL,60606,US,PWA,1,0,1927,AIR,315,AIR,101,101,0,0,113045,65224,S,178269,0,0,0,CT,1000,0,0,178.69589999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
134640,1476797,1476797,USD,11 HANOVER SQ,NEW YORK,0,0,61,NY,10005,US,PWA,1,26,1931,AIR,315,AIR,151,151,0,0,299588,521798,S,821386,0,0,0,CT,1000,0,0,1429.5835999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
134641,1476799,1476799,USD,250 PARK AVE S,NEW YORK,0,0,61,NY,10003,US,PWA,1,12,1911,AIR,315,AIR,151,151,0,0,4016667,3125000,S,7141667,0,0,0,CT,2500,0,0,8561.6437999999998,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
